herb_name,city,town,collection_date,longitude,latitude,soil_pH,soil_Cr,soil_Ni,soil_Cu,soil_Zn,soil_As,soil_Cd,soil_Hg,soil_Pb,herb_Cr,herb_Ni,herb_Cu,herb_Zn,herb_As,herb_Cd,herb_Hg,herb_Pb
薄荷,南通市,通州区,2024-6-6,121.147791,32.187951,7.2,67,26,18,72,6,0.17,0.04,21,1.9,2.1,13.1,21.7,0.13,0.05,0.04,0.4
薄荷,南通市,通州区,2024-6-6,121.147243,32.190019,7.5,58,25,18,71,6,0.20,0.04,20,1.1,2.1,12.4,19.6,0.10,0.02,0.04,0.3
薄荷,南通市,通州区,2024-6-6,121.149609,32.18958,7.4,73,29,17,75,7,0.08,0.05,20,0.7,2.2,10.3,23.0,0.11,0.02,0.02,0.4
黄蜀葵花,泰州市,兴化市,2024-7-29,119.879534,32.947736,6.9,78,36,24,72,8,0.18,0.06,26,0.4,1.5,16.6,37.2,0.02,0.30,0.00,0.1
黄蜀葵花,泰州市,兴化市,2024-7-29,119.880369,32.947645,6.5,78,35,24,75,9,0.19,0.05,25,0.2,1.1,14.0,42.1,0.00,0.23,0.01,0.2
黄蜀葵花,泰州市,兴化市,2024-7-29,119.881449,32.94785,6.5,77,34,23,69,9,0.17,0.05,25,0.1,1.0,15.4,56.1,0.00,0.23,0.01,0.5
黄蜀葵花,盐城市,射阳县,2025-10-19,120.140731,33.563824,8.1,67,25,22,73,12,0.12,0.02,30,0.4,1.3,15.6,54.9,0.03,0.20,0.01,0.2
黄蜀葵花,盐城市,射阳县,2025-10-19,120.140928,33.563739,8.1,67,26,23,75,11,0.14,0.02,34,0.8,1.7,16.1,47.7,0.20,0.23,0.01,0.3
黄蜀葵花,盐城市,射阳县,2025-10-19,120.305976,33.654039,7.9,65,23,22,72,10,0.12,0.02,27,0.4,0.8,14.8,45.6,0.05,0.07,0.01,0.1
黄蜀葵花,盐城市,射阳县,2025-10-19,120.315095,33.657738,8.0,64,24,22,72,10,0.18,0.02,31,0.7,1.1,12.5,43.5,0.06,0.06,0.01,0.2
半夏,南通市,如皋市,2024-5-29,120.520391,32.162783,7.2,56,20,14,67,4,0.13,0.05,21,0.2,0.2,3.5,41.7,0.03,0.03,0.01,0.0
半夏,泰州市,高港区,2024-5-29,119.970759,32.370186,7.2,58,22,23,94,7,0.18,0.06,23,0.4,0.3,3.2,55.2,0.05,0.04,0.00,0.5
半夏,徐州市,邳州市,2024-6-16,118.021934,34.392422,7.1,65,30,28,86,9,0.22,0.03,25,0.2,0.4,4.6,38.0,0.04,0.07,0.00,0.1
半夏,徐州市,邳州市,2024-6-16,118.022502,34.391328,7.4,65,29,28,80,8,0.21,0.02,24,0.3,0.5,4.0,38.7,0.05,0.06,0.03,0.2
半夏,徐州市,邳州市,2024-6-16,118.023325,34.393042,7.4,69,31,30,82,8,0.16,0.02,25,0.2,0.6,4.6,45.6,0.04,0.04,0.00,0.4
半夏,徐州市,邳州市,2024-6-16,118.020291,34.39197,7.3,66,30,28,83,7,0.20,0.02,25,0.1,0.2,3.6,29.3,0.03,0.03,0.01,0.1
半夏,泰州市,高港区,2024-6-20,119.960431,32.364831,7.3,57,22,13,64,7,0.21,0.06,18,0.3,0.3,5.5,44.8,0.05,0.08,0.01,0.1
银杏叶,盐城市,盐都区,2024-8-15,120.036485,33.250449,7.2,50,20,16,71,5,0.14,0.02,20,1.1,1.1,2.3,4.1,0.08,0.00,0.03,0.7
银杏叶,盐城市,盐都区,2024-8-15,120.03796,33.250673,7.4,50,19,16,84,5,0.12,0.02,18,0.9,0.6,2.6,4.8,0.10,0.01,0.04,0.6
银杏叶,盐城市,盐都区,2024-8-15,120.037094,33.251236,5.7,53,20,14,63,5,0.11,0.02,20,0.7,0.9,2.1,3.9,0.06,0.00,0.03,0.5
银杏叶,盐城市,盐都区,2024-8-15,120.126311,33.221998,6.7,81,37,23,75,9,0.14,0.04,25,0.4,0.3,2.8,4.3,0.02,0.00,0.02,0.2
银杏叶,盐城市,盐都区,2024-8-15,120.128141,33.222069,6.8,69,31,20,67,6,0.11,0.03,23,0.3,0.2,3.6,4.4,0.02,0.00,0.02,0.1
银杏叶,盐城市,盐都区,2024-8-15,120.127374,33.223227,7.2,71,32,21,69,6,0.11,0.03,24,0.3,0.2,2.7,3.7,0.02,0.00,0.02,0.2
银杏叶,盐城市,东台市,2024-8-31,120.748592,32.82786,7.7,48,18,10,45,6,0.14,0.02,15,0.9,0.5,2.3,5.8,0.12,0.00,0.03,0.8
银杏叶,盐城市,东台市,2024-8-31,120.751217,32.827628,7.4,50,20,9,55,4,0.12,0.02,15,0.9,0.5,3.8,7.4,0.13,0.00,0.04,1.0
银杏叶,泰州市,海陵区,2024-8-7,119.91194,32.494121,7.0,14,5,4,21,1,0.05,0.07,229,1.7,0.9,3.2,7.6,0.35,0.01,0.03,4.8
银杏叶,泰州市,海陵区,2024-8-7,119.911987,32.49342,7.2,15,6,5,24,1,0.06,0.08,273,2.0,1.2,3.2,8.7,0.38,0.01,0.03,3.5
银杏叶,泰州市,海陵区,2024-8-7,119.911956,32.492785,7.4,16,8,5,24,1,0.07,0.06,191,1.5,0.9,3.0,7.1,0.32,0.01,0.03,3.3
银杏叶,泰州市,海陵区,2025-10-4,119.911993,32.493215,7.2,59,20,13,77,6,0.19,0.04,27,1.5,0.9,3.1,6.8,0.21,0.01,0.05,1.6
银杏叶,泰州市,海陵区,2025-10-4,119.911966,32.492527,7.0,63,20,13,79,7,0.14,0.05,29,1.1,0.7,2.5,5.5,0.17,0.01,0.04,0.8
银杏叶,泰州市,海陵区,2025-10-4,119.911947,32.494392,7.0,61,21,29,88,7,0.17,0.04,30,1.9,1.1,3.5,8.4,0.23,0.01,0.05,1.4
银杏叶,泰州市,海陵区,2025-10-4,119.911942,32.493962,7.0,64,22,13,83,6,0.18,0.06,34,1.3,0.8,3.2,7.8,0.19,0.01,0.05,1.4
银杏叶,泰州市,泰兴市,2024-10-5,120.323915,32.273909,7.1,51,20,13,84,5,0.17,0.04,20,1.5,1.2,4.2,15.5,0.36,0.01,0.06,2.0
银杏叶,宿迁市,沭阳县,2024-8-9,118.751253,34.161103,7.4,61,24,25,128,7,0.33,0.05,46,0.5,0.8,3.3,5.3,0.13,0.01,0.03,5.9
银杏叶,宿迁市,沭阳县,2024-8-9,118.750637,34.161098,7.3,58,22,17,80,5,0.18,0.05,34,1.1,0.5,2.5,4.0,0.08,0.01,0.04,6.3
银杏叶,宿迁市,沭阳县,2024-8-9,118.749897,34.161022,7.3,57,19,16,70,3,0.18,0.07,34,1.6,0.6,1.9,4.0,0.10,0.01,0.03,6.2
银杏叶,宿迁市,沭阳县,2025-10-4,118.751253,34.161103,7.1,69,22,23,91,7,0.18,0.04,54,1.1,0.9,2.8,6.7,0.13,0.02,0.04,3.9
银杏叶,宿迁市,沭阳县,2025-10-4,118.750637,34.161098,7.0,79,22,34,163,6,0.43,0.05,80,1.1,1.0,3.8,8.4,0.16,0.02,0.03,5.1
银杏叶,宿迁市,沭阳县,2025-10-4,118.749897,34.161022,7.0,69,22,28,119,7,0.33,0.06,76,0.8,0.6,2.1,6.6,0.15,0.01,0.03,4.2
银杏叶,宿迁市,沭阳县,2025-10-4,118.803432,34.113512,6.5,67,21,38,95,7,0.11,0.07,43,1.3,2.0,4.7,7.1,0.13,0.01,0.05,8.5
银杏叶,宿迁市,沭阳县,2025-10-4,118.803245,34.112909,7.0,73,26,31,111,9,0.25,0.05,55,1.4,0.8,2.7,7.7,0.14,0.01,0.03,8.3
银杏叶,宿迁市,沭阳县,2025-10-4,118.803092,34.11264,7.0,68,24,24,78,7,0.13,0.03,40,0.9,0.7,2.2,6.6,0.09,0.01,0.03,5.7
银杏叶,苏州市,吴中区,2024-8-12,120.556337,31.203414,7.4,65,28,20,80,8,0.19,0.07,22,0.7,0.4,2.2,4.9,0.11,0.01,0.04,0.8
银杏叶,苏州市,吴中区,2024-8-12,120.557041,31.203525,7.4,71,31,23,79,11,0.17,0.07,24,1.1,1.0,6.1,7.0,0.25,0.01,0.04,1.2
银杏叶,苏州市,吴中区,2024-8-12,120.556991,31.204333,7.3,74,31,23,69,10,0.16,0.07,23,0.6,0.4,2.5,4.3,0.12,0.00,0.04,0.6
银杏叶,苏州市,张家港市,2025-10-2,120.555442,31.887697,7.2,79,30,28,86,10,0.12,0.03,30,1.9,1.4,3.6,8.3,0.24,0.01,0.06,1.5
银杏叶,苏州市,张家港市,2025-10-2,120.556195,31.889551,7.6,78,26,23,98,7,0.16,0.08,29,1.7,0.9,2.4,7.2,0.17,0.01,0.05,1.3
银杏叶,苏州市,张家港市,2025-10-2,120.560195,31.886478,7.2,89,31,29,119,9,0.24,0.07,33,2.8,1.5,4.4,7.7,0.21,0.01,0.06,1.4
银杏叶,南京市,栖霞区,2024-8-12,118.938086,32.105822,7.5,68,31,26,84,10,0.18,0.05,23,1.0,0.5,2.5,6.2,0.12,0.02,0.03,0.7
银杏叶,南京市,栖霞区,2024-8-12,118.938441,32.105507,7.5,72,33,26,78,10,0.20,0.03,24,0.9,0.5,2.7,5.7,0.12,0.02,0.04,1.3
银杏叶,南京市,栖霞区,2024-8-12,118.937099,32.104379,7.5,74,35,27,78,11,0.16,0.03,28,1.0,0.5,3.2,7.3,0.16,0.03,0.05,1.4
银杏叶,无锡市,滨湖区,2024-8-13,120.284162,31.519509,7.1,91,39,34,104,8,0.20,0.08,40,1.3,0.5,2.4,9.1,0.12,0.01,0.05,1.0
银杏叶,无锡市,滨湖区,2024-8-13,120.283718,31.519503,7.3,86,41,32,104,9,0.22,0.07,39,1.0,0.8,1.6,6.1,0.13,0.01,0.04,0.8
银杏叶,无锡市,滨湖区,2024-8-13,120.283444,31.51985,7.5,74,32,27,81,9,0.19,0.08,30,0.9,0.4,2.0,6.1,0.08,0.02,0.04,1.1
银杏叶,淮安市,洪泽区,2024-8-15,119.079742,33.215199,7.2,67,31,21,53,7,0.06,0.02,36,0.6,0.4,1.5,3.7,0.12,0.01,0.03,1.0
银杏叶,淮安市,洪泽区,2024-8-15,119.079699,33.215087,7.2,74,36,24,57,8,0.10,0.02,20,1.1,0.6,2.4,3.7,0.11,0.01,0.04,0.8
银杏叶,淮安市,洪泽区,2024-8-15,119.079497,33.21503,7.4,71,36,23,56,8,0.07,0.02,23,0.4,0.3,1.4,3.1,0.09,0.00,0.02,0.7
银杏叶,扬州市,邗江区,2024-8-15,119.371408,32.394008,7.3,65,25,21,72,7,0.11,0.03,22,0.7,0.4,1.6,4.5,0.14,0.00,0.03,0.6
银杏叶,扬州市,邗江区,2024-8-15,119.37039,32.394168,7.5,47,19,10,49,3,0.13,0.09,20,1.0,0.8,1.7,4.9,0.18,0.01,0.03,0.9
银杏叶,扬州市,邗江区,2024-8-15,119.372499,32.392885,7.5,51,20,11,55,4,0.12,0.03,17,0.6,0.4,1.2,3.7,0.09,0.00,0.02,0.5
银杏叶,连云港,连云区,2024-8-17,119.330214,34.693255,7.4,44,17,20,77,4,0.15,0.05,38,1.0,0.6,3.0,4.3,0.12,0.01,0.03,1.9
银杏叶,连云港,连云区,2024-8-17,119.331895,34.692943,7.3,42,22,17,50,5,0.08,0.02,26,0.7,0.5,3.0,3.9,0.12,0.01,0.03,1.7
银杏叶,连云港,连云区,2024-8-17,119.331014,34.69416,7.4,73,32,41,172,7,0.46,0.06,81,1.0,0.7,3.5,4.8,0.11,0.01,0.03,2.2
银杏叶,常州市,武进区,2024-8-18,119.952221,31.727716,7.5,77,34,30,117,11,0.44,0.06,34,1.9,1.0,5.3,8.1,0.16,0.02,0.05,2.1
银杏叶,常州市,武进区,2024-8-18,119.952219,31.727673,7.5,75,33,27,81,11,0.18,0.05,27,2.0,0.9,3.6,6.4,0.16,0.01,0.05,2.1
银杏叶,常州市,武进区,2024-8-18,119.952228,31.727417,7.7,76,34,28,83,12,0.18,0.25,34,2.4,0.9,4.5,8.9,0.22,0.02,0.07,2.6
银杏叶,常州市,武进区,2024-8-18,119.952229,31.727163,7.4,68,28,22,74,11,0.11,0.08,23,1.9,0.8,4.7,7.1,0.18,0.01,0.05,2.0
银杏叶,镇江市,京口区,2024-8-19,119.436063,32.218449,7.5,81,40,35,142,13,0.52,0.10,33,0.7,0.6,3.7,5.9,0.16,0.01,0.05,1.0
银杏叶,镇江市,润州区,2024-8-19,119.4319,32.218816,7.5,55,24,16,70,6,0.20,0.04,20,0.5,0.5,2.0,3.4,0.09,0.00,0.03,0.8
银杏叶,镇江市,润州区,2024-8-19,119.418188,32.217577,6.3,67,31,29,132,12,0.58,0.11,249,0.4,0.4,2.5,3.5,0.06,0.00,0.04,0.8
银杏叶,南通市,崇川区,2024-8-23,120.865784,31.994537,7.3,78,28,28,158,8,0.26,0.21,36,1.6,1.1,3.8,8.0,0.22,0.00,0.06,1.2
银杏叶,南通市,崇川区,2024-8-23,120.866061,31.993726,7.2,81,31,27,132,8,0.27,0.09,33,1.8,1.2,4.0,7.6,0.22,0.00,0.05,1.2
银杏叶,南通市,崇川区,2024-8-23,120.866309,31.993205,7.3,66,26,20,117,9,0.24,0.05,29,1.7,1.1,4.3,8.5,0.17,0.00,0.04,1.4
银杏叶,徐州市,邳州市,2024-8-10,118.069093,34.471447,6.2,62,23,21,67,7,0.16,0.02,21,0.5,2.0,2.4,3.8,0.10,0.02,0.03,2.7
银杏叶,徐州市,邳州市,2024-8-10,118.067773,34.470905,6.0,61,23,20,63,7,0.14,0.02,23,0.4,2.1,2.5,3.7,0.09,0.02,0.03,2.4
银杏叶,徐州市,邳州市,2024-8-10,118.069851,34.470626,5.8,60,23,19,58,5,0.10,0.02,20,0.6,2.0,2.6,4.6,0.09,0.02,0.03,3.5
银杏叶,徐州市,邳州市,2024-8-22,118.039406,34.394641,6.1,54,20,21,56,7,0.22,0.05,24,0.7,3.9,2.4,4.4,0.11,0.02,0.03,5.1
银杏叶（黄叶）,徐州市,邳州市,2024-12-10,118.039406,34.394641,6.1,54,20,21,56,7,0.22,0.05,24,1.4,0.8,2.2,8.9,1.19,0.85,0.08,39.3
银杏叶,徐州市,邳州市,2024-8-22,118.038809,34.392883,5.7,50,17,13,55,5,0.25,0.03,24,0.6,2.3,2.2,4.0,0.13,0.04,0.04,5.8
银杏叶,徐州市,邳州市,2024-8-22,118.039724,34.393874,5.6,47,17,15,57,5,0.34,0.05,28,2.0,3.3,2.5,3.8,0.16,0.04,0.04,6.0
银杏叶,徐州市,邳州市,2024-8-24,118.039724,34.393874,5.6,55,21,18,70,7,0.38,0.04,32,0.8,3.8,2.1,6.9,0.21,0.05,0.04,5.7
银杏叶,徐州市,邳州市,2025-5-13,118.039406,34.394641,6.1,54,20,21,56,7,0.22,0.05,24,1.1,6.5,6.5,10.7,0.12,0.06,0.01,2.6
银杏叶,徐州市,邳州市,2025-5-13,118.038809,34.392883,5.7,50,17,13,55,5,0.25,0.03,24,0.6,2.2,4.8,8.4,0.09,0.04,0.01,2.0
银杏叶,徐州市,邳州市,2025-5-13,118.039724,34.393874,5.6,47,17,15,57,5,0.34,0.05,28,0.6,4.4,6.2,11.3,0.09,0.05,0.02,2.4
银杏叶,徐州市,邳州市,2025-6-20,118.039406,34.394641,6.0,54,20,21,56,7,0.22,0.05,24,0.7,2.7,5.1,8.0,0.17,0.08,0.02,5.5
银杏叶,徐州市,邳州市,2025-6-20,118.038809,34.392883,5.5,50,17,13,55,5,0.25,0.03,24,0.6,3.4,5.2,8.0,0.12,0.06,0.02,4.9
银杏叶,徐州市,邳州市,2025-6-20,118.039724,34.393874,5.5,47,17,15,57,5,0.34,0.05,28,0.7,5.0,5.5,8.1,0.15,0.06,0.02,4.7
银杏叶,徐州市,邳州市,2025-6-20,118.040292,34.393804,5.7,55,21,18,70,7,0.38,0.04,32,0.7,4.3,5.2,8.6,0.15,0.07,0.02,5.4
银杏叶,徐州市,邳州市,2025-8-3,118.039406,34.394641,6.1,54,20,21,56,7,0.22,0.05,24,0.8,3.3,4.4,8.2,0.19,0.06,0.03,6.1
银杏叶,徐州市,邳州市,2025-8-3,118.038809,34.392883,5.7,50,17,13,55,5,0.25,0.03,24,0.6,2.2,4.6,9.2,0.14,0.03,0.03,3.4
银杏叶,徐州市,邳州市,2025-8-3,118.039724,34.393874,5.6,47,17,15,57,5,0.34,0.05,28,0.6,2.4,4.6,11.4,0.14,0.04,0.02,3.9
银杏叶,徐州市,邳州市,2025-8-3,118.040292,34.393804,6.1,55,21,18,70,7,0.38,0.04,32,0.8,2.1,3.1,7.9,0.13,0.06,0.01,4.8
银杏叶,徐州市,邳州市,2024-8-22,117.874846,34.630184,6.1,82,43,31,71,12,0.22,0.02,34,0.8,0.6,2.1,3.4,0.07,0.01,0.02,1.3
银杏叶,徐州市,邳州市,2024-8-22,117.87401,34.629894,7.1,76,38,34,106,12,0.39,0.04,33,1.5,0.8,2.4,10.3,0.20,0.01,0.02,1.4
银杏叶,徐州市,邳州市,2024-8-22,118.067603,34.5403,6.7,72,32,29,135,10,0.23,0.08,31,0.4,0.4,3.0,15.2,0.03,0.01,0.03,1.4
银杏叶,徐州市,邳州市,2024-8-22,118.070178,34.53917,6.6,72,32,31,130,11,0.22,0.04,32,0.6,0.6,5.1,65.7,0.05,0.01,0.02,1.6
银杏叶,徐州市,邳州市,2024-8-22,118.065336,34.539774,5.9,75,33,53,144,14,0.21,0.03,32,0.4,0.4,2.0,3.8,0.09,0.01,0.04,1.4
银杏叶,徐州市,邳州市,2024-8-22,118.066627,34.539284,5.9,74,32,41,139,12,0.22,0.06,31,0.4,0.5,2.2,3.6,0.06,0.01,0.04,1.5
白果仁,常州市,武进区,2024-8-18,119.952221,31.727716,7.5,77,34,30,117,11,0.44,0.06,34,0.2,2.2,12.1,10.6,0.02,0.00,0.00,0.3
白果仁,常州市,武进区,2024-8-18,119.952229,31.727163,7.4,68,28,22,74,11,0.11,0.08,23,1.1,1.8,8.6,17.3,0.01,0.00,0.01,0.3
白果仁,徐州市,邳州市,2024-8-22,118.039406,34.394641,6.1,54,20,21,56,7,0.22,0.05,24,0.1,12.6,6.6,12.4,0.02,0.01,0.01,0.2
白果仁,徐州市,邳州市,2024-8-22,118.038809,34.392883,5.7,50,17,13,55,5,0.25,0.03,24,0.1,7.1,3.9,14.9,0.02,0.00,0.01,0.2
白果仁,徐州市,邳州市,2024-8-22,118.039724,34.393874,5.6,47,17,15,57,5,0.34,0.05,28,0.1,8.2,4.3,12.8,0.03,0.01,0.01,0.4
白果仁,徐州市,邳州市,2024-8-22,118.065336,34.539774,5.9,75,33,53,144,14,0.21,0.03,32,0.1,1.1,5.1,16.4,0.01,0.00,0.00,0.6
白果仁,徐州市,邳州市,2024-8-24,118.039724,34.393874,5.6,55,21,18,70,7,0.38,0.04,32,0.1,9.2,5.0,6.9,0.02,0.00,0.01,0.1
白果仁,徐州市,邳州市,2024-10-3,118.069093,34.471447,6.2,62,23,21,67,7,0.16,0.02,21,0.1,9.4,3.1,9.9,0.02,0.01,0.01,0.0
白果仁,徐州市,邳州市,2024-10-3,118.067773,34.470905,6.0,61,23,20,63,7,0.14,0.02,23,0.1,9.5,4.3,12.4,0.01,0.01,0.01,0.7
白果仁,徐州市,邳州市,2024-10-3,118.069851,34.470626,5.8,60,23,19,58,5,0.10,0.02,20,0.2,10.9,5.3,9.1,0.02,0.01,0.01,0.1
白果仁,宿迁市,沭阳县,2024-10-4,118.751253,34.161103,7.4,61,24,25,128,7,0.33,0.05,46,0.1,0.4,3.3,4.1,0.01,0.00,0.01,0.0
白果仁,宿迁市,沭阳县,2024-10-4,118.750637,34.161098,7.3,58,22,17,80,5,0.18,0.05,34,0.7,0.7,4.3,6.1,0.01,0.00,0.01,0.2
白果仁,泰州市,泰兴市,2024-10-5,120.323915,32.273909,7.1,51,20,13,84,5,0.17,0.04,20,0.3,0.5,6.5,14.2,0.02,0.00,0.01,0.0
白果仁,泰州市,海陵区,2024-10-11,119.911956,32.492785,7.4,16,8,5,24,1,0.07,0.06,191,0.1,0.3,5.9,9.7,0.06,0.00,0.01,0.0
白果仁,南京市,栖霞区,2024-10-11,118.941488,32.1055,7.3,71,33,26,80,10,0.18,0.04,25,0.3,0.8,3.0,15.5,0.01,0.00,0.01,0.2
白果仁,无锡市,滨湖区,2024-10-13,120.284162,31.519509,7.1,91,39,34,104,8,0.20,0.08,40,0.2,0.5,4.6,11.0,0.01,0.00,0.01,0.1
白果仁,无锡市,滨湖区,2024-10-13,120.283718,31.519503,7.3,86,41,32,104,9,0.22,0.07,39,0.1,0.4,4.7,8.2,0.01,0.00,0.01,0.0
白果仁,无锡市,滨湖区,2024-10-13,120.283444,31.51985,7.5,74,32,27,81,9,0.19,0.08,30,0.1,0.4,5.2,9.8,0.00,0.00,0.00,0.0
白果仁,连云港,连云区,2024-8-17,119.331895,34.692943,7.4,42,22,17,50,5,0.08,0.02,26,0.3,1.2,5.6,13.0,0.01,0.00,0.01,0.1
白果仁,苏州市,吴中区,2024-10-15,120.556337,31.203414,7.4,65,28,20,80,8,0.19,0.07,22,0.4,0.4,5.5,9.6,0.01,0.00,0.01,0.1
白果仁,苏州市,吴中区,2024-11-5,120.557041,31.203525,7.4,71,31,23,79,11,0.17,0.07,24,0.1,0.5,5.2,11.7,0.01,0.00,0.01,0.0
白果仁,盐城市,东台市,2024-11-30,120.751217,32.827628,7.4,50,20,9,55,4,0.12,0.02,15,0.1,0.2,4.7,9.2,0.01,0.00,0.01,0.1
白果仁,盐城市,亭湖区,2024-12-4,120.242974,33.35059,6.9,63,27,22,72,6,0.16,0.03,27,0.3,0.2,3.1,4.2,0.01,0.00,0.01,0.1
白果仁,苏州市,张家港市,2025-10-2,120.555442,31.887697,7.2,79,30,28,86,10,0.12,0.03,30,0.2,0.9,7.1,5.8,0.02,0.00,0.00,0.0
白果仁,苏州市,张家港市,2025-10-2,120.556195,31.889551,7.6,78,26,23,98,7,0.16,0.08,29,0.1,0.5,3.8,3.2,0.02,0.00,0.00,0.0
百合,盐城市,东台市,2024-8-9,120.783372,32.864939,7.7,44,19,12,70,6,0.21,0.02,25,0.1,0.2,5.4,16.4,0.01,0.11,0.02,0.1
百合,无锡市,宜兴市,2024-8-16,119.531023,31.244512,5.7,59,26,19,53,11,0.06,0.04,24,0.0,1.8,5.0,19.1,0.01,0.42,0.01,0.1
百合,无锡市,宜兴市,2024-8-16,119.532449,31.244816,5.6,56,23,19,72,10,0.06,0.03,25,0.2,1.9,6.0,23.9,0.02,0.56,0.02,0.1
百合,无锡市,宜兴市,2024-8-16,119.531918,31.244281,5.6,59,24,20,65,11,0.07,0.05,26,0.8,1.2,4.7,22.3,0.01,0.33,0.01,0.1
百合,无锡市,宜兴市,2024-8-26,119.722212,31.273507,5.4,62,25,18,47,14,0.16,0.07,30,0.4,2.6,7.7,27.5,0.02,0.63,0.01,0.3
百合,无锡市,宜兴市,2024-8-26,119.722633,31.273613,5.4,61,26,19,47,12,0.17,0.07,31,0.3,2.1,7.7,26.8,0.02,0.59,0.01,0.2
百合,无锡市,宜兴市,2024-8-26,119.722681,31.274039,5.3,63,24,19,49,13,0.17,0.06,31,0.8,2.0,6.1,25.9,0.02,0.38,0.01,0.2
芡实,苏州市,相城区,2024-9-12,120.551266,31.468479,6.1,72,33,31,87,9,0.13,0.45,37,0.1,0.2,3.0,33.6,0.05,0.00,0.02,0.1
芡实,苏州市,相城区,2024-9-12,120.553631,31.46728,5.8,83,35,34,82,10,0.12,0.24,37,0.0,0.4,3.8,21.1,0.04,0.00,0.00,0.0
